
**************************************************************************
P=8 S=10 chain_strength=18000.0

**************************************************************************
P=8 S=10 chain_strength=18000.0

**************************************************************************
P=8 S=10 chain_strength=18000.0
SAMPLE: {0: 1, 1: -1, 2: 0, 3: -1, 4: -1, 5: 1, 6: -1, 7: 0, 8: -1, 9: 0, 10: 1, 11: 1, 12: 0, 13: -1, 14: -1, 15: 0, 16: 1, 17: 1}, ENERGY: [9838.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: 0, 4: -1, 5: 1, 6: 1, 7: -1, 8: -1, 9: -1, 10: 0, 11: 1, 12: 1, 13: -1, 14: 0, 15: -1, 16: 0, 17: -1}, ENERGY: [8034.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: 1, 3: -1, 4: -1, 5: 0, 6: -1, 7: 1, 8: -1, 9: 0, 10: 1, 11: 1, 12: 0, 13: -1, 14: -1, 15: -1, 16: 0, 17: -1}, ENERGY: [8735.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: -1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0, 8: -1, 9: -1, 10: 1, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: 1, 17: 0}, ENERGY: [7916.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: -1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: -1, 11: -1, 12: 1, 13: 0, 14: -1, 15: 0, 16: -1, 17: -1}, ENERGY: [9018.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: -1, 4: 0, 5: -1, 6: 0, 7: 1, 8: -1, 9: 1, 10: 1, 11: 0, 12: 0, 13: -1, 14: 1, 15: 1, 16: -1, 17: 0}, ENERGY: [10261.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: -1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: -1, 10: -1, 11: 1, 12: 1, 13: -1, 14: 1, 15: -1, 16: 0, 17: -1}, ENERGY: [9020.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: 1, 3: -1, 4: -1, 5: 0, 6: -1, 7: 1, 8: 0, 9: -1, 10: 1, 11: -1, 12: 0, 13: -1, 14: -1, 15: 0, 16: 0, 17: -1}, ENERGY: [9124.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: -1, 9: 1, 10: 0, 11: -1, 12: 1, 13: 0, 14: -1, 15: 0, 16: -1, 17: 0}, ENERGY: [8135.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: 0, 4: -1, 5: 0, 6: 1, 7: 0, 8: -1, 9: 0, 10: 0, 11: -1, 12: 0, 13: -1, 14: 0, 15: 0, 16: 0, 17: -1}, ENERGY: [4143.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: -1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: -1, 10: 0, 11: 1, 12: 0, 13: -1, 14: 1, 15: -1, 16: 1, 17: 1}, ENERGY: [9785.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: 1, 4: 0, 5: 1, 6: 0, 7: -1, 8: -1, 9: 0, 10: -1, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: 0, 17: 1}, ENERGY: [7834.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: -1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0, 11: 0, 12: -1, 13: 0, 14: 0, 15: -1, 16: 0, 17: -1}, ENERGY: [3658.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: 0, 4: 0, 5: 0, 6: 1, 7: -1, 8: -1, 9: 0, 10: 0, 11: -1, 12: -1, 13: -1, 14: -1, 15: 1, 16: -1, 17: -1}, ENERGY: [8126.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: 0, 3: 1, 4: -1, 5: -1, 6: 0, 7: -1, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: -1, 16: 0, 17: 0}, ENERGY: [7289.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: 0, 4: -1, 5: 1, 6: 0, 7: -1, 8: -1, 9: 0, 10: -1, 11: 0, 12: 0, 13: -1, 14: 0, 15: -1, 16: 0, 17: 1}, ENERGY: [12138.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: 0, 5: 0, 6: 1, 7: 1, 8: -1, 9: 0, 10: 0, 11: -1, 12: 0, 13: -1, 14: -1, 15: 1, 16: -1, 17: 1}, ENERGY: [5381.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: 0, 3: -1, 4: 0, 5: 1, 6: -1, 7: 1, 8: -1, 9: 1, 10: 0, 11: 1, 12: 1, 13: -1, 14: 0, 15: 1, 16: -1, 17: 0}, ENERGY: [10966.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: -1, 9: 1, 10: 0, 11: 0, 12: -1, 13: -1, 14: 0, 15: -1, 16: 0, 17: 0}, ENERGY: [10227.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: -1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: -1, 11: 0, 12: 0, 13: -1, 14: 1, 15: -1, 16: 0, 17: 0}, ENERGY: [3381.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1, 8: -1, 9: 0, 10: 0, 11: 1, 12: 1, 13: -1, 14: 0, 15: 0, 16: -1, 17: -1}, ENERGY: [9323.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: -1, 4: 1, 5: 0, 6: 1, 7: 1, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: -1, 14: 0, 15: 1, 16: 1, 17: 0}, ENERGY: [9065.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: 1, 3: -1, 4: 1, 5: 0, 6: -1, 7: 1, 8: 0, 9: 0, 10: 0, 11: -1, 12: 0, 13: -1, 14: 0, 15: -1, 16: -1, 17: 0}, ENERGY: [5638.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: -1, 4: -1, 5: 0, 6: 0, 7: 1, 8: -1, 9: 1, 10: 0, 11: 0, 12: 1, 13: -1, 14: 1, 15: -1, 16: 1, 17: 0}, ENERGY: [11548.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: -1, 3: -1, 4: 0, 5: 0, 6: 1, 7: 1, 8: -1, 9: 1, 10: 0, 11: -1, 12: 1, 13: -1, 14: 1, 15: 0, 16: 0, 17: -1}, ENERGY: [6092.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 1, 7: 1, 8: -1, 9: 0, 10: 0, 11: 1, 12: 0, 13: -1, 14: 0, 15: -1, 16: 0, 17: 1}, ENERGY: [3598.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 1, 7: 1, 8: -1, 9: 0, 10: 1, 11: 1, 12: 0, 13: 0, 14: -1, 15: -1, 16: -1, 17: 1}, ENERGY: [10216.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: -1, 9: 0, 10: 1, 11: 0, 12: 1, 13: -1, 14: 0, 15: 0, 16: 1, 17: 0}, ENERGY: [9255.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 1, 2: 1, 3: -1, 4: 1, 5: 0, 6: -1, 7: 0, 8: -1, 9: 0, 10: 0, 11: 0, 12: 1, 13: -1, 14: -1, 15: 0, 16: 0, 17: -1}, ENERGY: [6086.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: 0, 4: -1, 5: 1, 6: 0, 7: 0, 8: -1, 9: 0, 10: -1, 11: 0, 12: 0, 13: -1, 14: -1, 15: 1, 16: -1, 17: 0}, ENERGY: [9859.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: -1, 3: -1, 4: 0, 5: 0, 6: 0, 7: 1, 8: -1, 9: 1, 10: 0, 11: -1, 12: 0, 13: -1, 14: 1, 15: 1, 16: -1, 17: 1}, ENERGY: [9028.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: 0, 4: 0, 5: -1, 6: 1, 7: 1, 8: -1, 9: 0, 10: 1, 11: -1, 12: 0, 13: -1, 14: 0, 15: 0, 16: 0, 17: 0}, ENERGY: [9582.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: -1, 4: 1, 5: 1, 6: 1, 7: 0, 8: -1, 9: 1, 10: 0, 11: 1, 12: 1, 13: 0, 14: -1, 15: 0, 16: 0, 17: 0}, ENERGY: [9510.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: 0, 3: 1, 4: 0, 5: 1, 6: -1, 7: -1, 8: -1, 9: -1, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: -1, 17: -1}, ENERGY: [8454.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: 1, 3: -1, 4: 1, 5: -1, 6: -1, 7: 1, 8: 0, 9: 0, 10: 0, 11: 0, 12: -1, 13: -1, 14: -1, 15: -1, 16: 0, 17: 0}, ENERGY: [7709.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 0, 7: -1, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: -1, 16: -1, 17: 0}, ENERGY: [3534.0], OCCURENCES: 1
