SAMPLE: {0: 0, 1: 0, 2: -1, 3: 0, 4: -1, 5: 0, 6: 1, 7: 0, 8: -1, 9: 0, 10: 0, 11: 0, 12: 1, 13: -1, 14: 0, 15: 0, 16: 0, 17: 0}, ENERGY: [-4006.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: -1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0, 11: -1, 12: -1, 13: -1, 14: 0, 15: 1, 16: 0, 17: 1}, ENERGY: [-4423.5], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: -1, 3: 0, 4: 0, 5: 0, 6: 1, 7: -1, 8: -1, 9: 0, 10: 1, 11: 0, 12: 0, 13: -1, 14: 0, 15: 1, 16: 1, 17: -1}, ENERGY: [-4277.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: 1, 4: -1, 5: 0, 6: 0, 7: 0, 8: -1, 9: -1, 10: -1, 11: 0, 12: 0, 13: -1, 14: -1, 15: -1, 16: 0, 17: -1}, ENERGY: [-4796.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 1, 2: -1, 3: -1, 4: 0, 5: -1, 6: 1, 7: 0, 8: -1, 9: 0, 10: 1, 11: 1, 12: 1, 13: 0, 14: 0, 15: -1, 16: -1, 17: -1}, ENERGY: [-4271.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: 1, 4: 1, 5: 0, 6: 1, 7: -1, 8: -1, 9: 0, 10: -1, 11: 1, 12: -1, 13: -1, 14: -1, 15: 1, 16: -1, 17: 0}, ENERGY: [-5530.5], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: 0, 3: 1, 4: 1, 5: 0, 6: -1, 7: -1, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: -1, 17: -1}, ENERGY: [-4802.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: 0, 4: -1, 5: -1, 6: 1, 7: 0, 8: -1, 9: 0, 10: -1, 11: 1, 12: -1, 13: -1, 14: -1, 15: 0, 16: -1, 17: 0}, ENERGY: [-4741.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: 0, 3: -1, 4: 0, 5: -1, 6: -1, 7: 1, 8: 0, 9: -1, 10: 1, 11: -1, 12: -1, 13: -1, 14: 0, 15: 1, 16: -1, 17: 1}, ENERGY: [-4350.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: -1, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 0, 12: -1, 13: -1, 14: 1, 15: 1, 16: -1, 17: 1}, ENERGY: [-4161.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: 0, 4: -1, 5: 0, 6: 1, 7: -1, 8: -1, 9: 1, 10: -1, 11: 0, 12: 1, 13: -1, 14: 0, 15: 0, 16: -1, 17: 1}, ENERGY: [-4245.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: 1, 2: -1, 3: -1, 4: -1, 5: -1, 6: 0, 7: 0, 8: -1, 9: 0, 10: 1, 11: -1, 12: -1, 13: -1, 14: 0, 15: 1, 16: 1, 17: 0}, ENERGY: [-4960.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: -1, 4: 0, 5: 0, 6: 1, 7: 0, 8: -1, 9: 1, 10: 0, 11: 1, 12: 0, 13: -1, 14: 0, 15: 1, 16: -1, 17: 1}, ENERGY: [-4524.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: 1, 4: 1, 5: -1, 6: 1, 7: 0, 8: -1, 9: 0, 10: -1, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: 0, 17: 0}, ENERGY: [-5034.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: 1, 2: -1, 3: -1, 4: -1, 5: -1, 6: 1, 7: 0, 8: -1, 9: 0, 10: 1, 11: 0, 12: -1, 13: -1, 14: 0, 15: 0, 16: 0, 17: 0}, ENERGY: [-5344.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: 1, 4: 1, 5: 1, 6: 1, 7: -1, 8: -1, 9: 0, 10: 0, 11: 0, 12: -1, 13: -1, 14: 0, 15: -1, 16: -1, 17: -1}, ENERGY: [-5786.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: -1, 3: 0, 4: 0, 5: -1, 6: 1, 7: -1, 8: -1, 9: 0, 10: 1, 11: 1, 12: 1, 13: 0, 14: -1, 15: 0, 16: -1, 17: 0}, ENERGY: [-4267.5], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: 1, 3: -1, 4: 1, 5: 1, 6: -1, 7: 1, 8: 0, 9: -1, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: 0, 17: -1}, ENERGY: [-5061.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: 1, 2: -1, 3: -1, 4: -1, 5: 0, 6: 1, 7: 1, 8: -1, 9: -1, 10: 1, 11: 1, 12: 0, 13: -1, 14: 0, 15: 0, 16: -1, 17: -1}, ENERGY: [-5516.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 1, 2: -1, 3: -1, 4: 0, 5: -1, 6: 0, 7: 0, 8: -1, 9: 1, 10: -1, 11: 1, 12: 0, 13: -1, 14: 1, 15: 0, 16: 0, 17: 0}, ENERGY: [-4623.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: 1, 3: -1, 4: 0, 5: 1, 6: -1, 7: 0, 8: 0, 9: -1, 10: 0, 11: 0, 12: 1, 13: -1, 14: -1, 15: 0, 16: 1, 17: 0}, ENERGY: [-4203.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: 1, 2: 1, 3: -1, 4: -1, 5: -1, 6: -1, 7: 0, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: -1, 16: -1, 17: 0}, ENERGY: [-5468.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 1, 2: -1, 3: -1, 4: 0, 5: -1, 6: 0, 7: 1, 8: -1, 9: 1, 10: -1, 11: 0, 12: -1, 13: -1, 14: 0, 15: 0, 16: 0, 17: 1}, ENERGY: [-4889.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: 1, 4: -1, 5: 0, 6: 0, 7: -1, 8: -1, 9: 0, 10: -1, 11: -1, 12: -1, 13: -1, 14: -1, 15: 0, 16: -1, 17: 0}, ENERGY: [-5094.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: 1, 4: 1, 5: 0, 6: 0, 7: -1, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: 0, 17: 0}, ENERGY: [-4958.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: 0, 3: -1, 4: -1, 5: 0, 6: 0, 7: 1, 8: -1, 9: 0, 10: 1, 11: 0, 12: 0, 13: -1, 14: -1, 15: -1, 16: 1, 17: -1}, ENERGY: [-4825.0], OCCURENCES: 1
